micrograph,created_at,_rlnCtfFigureOfMerit #11,_rlnDefocusAngle #5,_rlnCtfMaxResolution #12,motioncor_aligned_no_DW,gctf_ctf_fit,motioncor_log,gctf_epa_log,Defocus_U,_rlnDetectorPixelSize #10,Defocus_V,_rlnVoltage #6,Phase_shift,Resolution,_rlnDefocusU #3,_rlnSphericalAberration #7,_rlnPhaseShift #13,_rlnMagnification #9,Angle,_rlnAmplitudeContrast #8,_rlnCtfImage #2,_rlnMicrographName #1,gctf_log,_rlnDefocusV #4,motioncor_aligned_DW,Defocus,delta_Defocus
20S_448_Mar29_08.45.31,2017-12-15 14:29:59.421267,0.008523,15.334390,3.027094,motioncor/20S_448_Mar29_08.45.31.mrc,gctf/20S_448_Mar29_08.45.31.ctf,motioncor/20S_448_Mar29_08.45.31_DriftCorr.log,gctf/20S_448_Mar29_08.45.31_EPA.log,2.91635,1.060000,2.41347,300.000000,0.39555555555555555,3.258725,2916.353027,2.620000,71.199203,10000.000000,15.33,0.100000,/home/viktor/Downloads/input/20S_448_Mar29_08.45.31/20S_448_Mar29_08.45.31.ctf:mrc,/home/viktor/Downloads/input/20S_448_Mar29_08.45.31/20S_448_Mar29_08.45.31.mrc,gctf/20S_448_Mar29_08.45.31_gctf.log,2413.468262,motioncor/20S_448_Mar29_08.45.31_DW.mrc,2.66491,0.5028800000000002
20S_447_Mar29_08.43.06,2017-12-15 14:30:30.055343,0.020321,14.152497,2.604244,motioncor/20S_447_Mar29_08.43.06.mrc,gctf/20S_447_Mar29_08.43.06.ctf,motioncor/20S_447_Mar29_08.43.06_DriftCorr.log,gctf/20S_447_Mar29_08.43.06_EPA.log,3.5227,1.060000,3.01373,300.000000,0.32894444444444443,3.093931,3522.695068,2.620000,59.210159,10000.000000,14.15,0.100000,/home/viktor/Downloads/input/20S_447_Mar29_08.43.06/20S_447_Mar29_08.43.06.ctf:mrc,/home/viktor/Downloads/input/20S_447_Mar29_08.43.06/20S_447_Mar29_08.43.06.mrc,gctf/20S_447_Mar29_08.43.06_gctf.log,3013.728760,motioncor/20S_447_Mar29_08.43.06_DW.mrc,3.268215,0.5089700000000001
20S_446_Mar29_08.40.39,2017-12-15 14:31:00.986848,0.032974,16.305307,2.309346,motioncor/20S_446_Mar29_08.40.39.mrc,gctf/20S_446_Mar29_08.40.39.ctf,motioncor/20S_446_Mar29_08.40.39_DriftCorr.log,gctf/20S_446_Mar29_08.40.39_EPA.log,4.753970000000001,1.060000,4.21275,300.000000,0.3118888888888889,2.653561,4753.973633,2.620000,56.140648,10000.000000,16.31,0.100000,/home/viktor/Downloads/input/20S_446_Mar29_08.40.39/20S_446_Mar29_08.40.39.ctf:mrc,/home/viktor/Downloads/input/20S_446_Mar29_08.40.39/20S_446_Mar29_08.40.39.mrc,gctf/20S_446_Mar29_08.40.39_gctf.log,4212.751953,motioncor/20S_446_Mar29_08.40.39_DW.mrc,4.48336,0.5412200000000009
20S_445_Mar29_08.38.15,2017-12-15 14:31:32.105907,0.027865,16.465363,2.775642,motioncor/20S_445_Mar29_08.38.15.mrc,gctf/20S_445_Mar29_08.38.15.ctf,motioncor/20S_445_Mar29_08.38.15_DriftCorr.log,gctf/20S_445_Mar29_08.38.15_EPA.log,5.32607,1.060000,4.7309399999999995,300.000000,0.2619444444444444,3.4667839999999996,5326.068848,2.620000,47.152054,10000.000000,16.47,0.100000,/home/viktor/Downloads/input/20S_445_Mar29_08.38.15/20S_445_Mar29_08.38.15.ctf:mrc,/home/viktor/Downloads/input/20S_445_Mar29_08.38.15/20S_445_Mar29_08.38.15.mrc,gctf/20S_445_Mar29_08.38.15_gctf.log,4730.938965,motioncor/20S_445_Mar29_08.38.15_DW.mrc,5.028504999999999,0.5951300000000002
20S_444_Mar29_08.35.50,2017-12-15 14:32:03.021560,0.029944,16.570602,2.365948,motioncor/20S_444_Mar29_08.35.50.mrc,gctf/20S_444_Mar29_08.35.50.ctf,motioncor/20S_444_Mar29_08.35.50_DriftCorr.log,gctf/20S_444_Mar29_08.35.50_EPA.log,5.26117,1.060000,4.7184099999999995,300.000000,0.19749999999999998,3.203451,5261.169922,2.620000,35.545506,10000.000000,16.57,0.100000,/home/viktor/Downloads/input/20S_444_Mar29_08.35.50/20S_444_Mar29_08.35.50.ctf:mrc,/home/viktor/Downloads/input/20S_444_Mar29_08.35.50/20S_444_Mar29_08.35.50.mrc,gctf/20S_444_Mar29_08.35.50_gctf.log,4718.410156,motioncor/20S_444_Mar29_08.35.50_DW.mrc,4.98979,0.5427600000000004
20S_443_Mar29_08.33.24,2017-12-15 14:32:33.928609,0.035346,16.455547,2.892064,motioncor/20S_443_Mar29_08.33.24.mrc,gctf/20S_443_Mar29_08.33.24.ctf,motioncor/20S_443_Mar29_08.33.24_DriftCorr.log,gctf/20S_443_Mar29_08.33.24_EPA.log,6.34736,1.060000,5.75154,300.000000,0.16594444444444445,3.3033309999999996,6347.362793,2.620000,29.869493,10000.000000,16.46,0.100000,/home/viktor/Downloads/input/20S_443_Mar29_08.33.24/20S_443_Mar29_08.33.24.ctf:mrc,/home/viktor/Downloads/input/20S_443_Mar29_08.33.24/20S_443_Mar29_08.33.24.mrc,gctf/20S_443_Mar29_08.33.24_gctf.log,5751.542480,motioncor/20S_443_Mar29_08.33.24_DW.mrc,6.04945,0.5958199999999998
20S_442_Mar29_08.31.06,2017-12-15 14:33:04.394673,0.026784,35.009216,2.701418,motioncor/20S_442_Mar29_08.31.06.mrc,gctf/20S_442_Mar29_08.31.06.ctf,motioncor/20S_442_Mar29_08.31.06_DriftCorr.log,gctf/20S_442_Mar29_08.31.06_EPA.log,3.81227,1.060000,3.5960300000000003,300.000000,0.6947777777777778,3.048337,3812.269287,2.620000,125.058945,10000.000000,35.01,0.100000,/home/viktor/Downloads/input/20S_442_Mar29_08.31.06/20S_442_Mar29_08.31.06.ctf:mrc,/home/viktor/Downloads/input/20S_442_Mar29_08.31.06/20S_442_Mar29_08.31.06.mrc,gctf/20S_442_Mar29_08.31.06_gctf.log,3596.032471,motioncor/20S_442_Mar29_08.31.06_DW.mrc,3.7041500000000003,0.21623999999999954
20S_441_Mar29_08.28.40,2017-12-15 14:33:34.862225,0.022134,39.736328,2.833581,motioncor/20S_441_Mar29_08.28.40.mrc,gctf/20S_441_Mar29_08.28.40.ctf,motioncor/20S_441_Mar29_08.28.40_DriftCorr.log,gctf/20S_441_Mar29_08.28.40_EPA.log,3.50525,1.060000,3.30185,300.000000,0.6698888888888889,3.00199,3505.247314,2.620000,120.582428,10000.000000,39.74,0.100000,/home/viktor/Downloads/input/20S_441_Mar29_08.28.40/20S_441_Mar29_08.28.40.ctf:mrc,/home/viktor/Downloads/input/20S_441_Mar29_08.28.40/20S_441_Mar29_08.28.40.mrc,gctf/20S_441_Mar29_08.28.40_gctf.log,3301.849365,motioncor/20S_441_Mar29_08.28.40_DW.mrc,3.40355,0.20340000000000025
20S_440_Mar29_08.26.15,2017-12-15 14:34:05.320368,0.030980,33.827896,2.696387,motioncor/20S_440_Mar29_08.26.15.mrc,gctf/20S_440_Mar29_08.26.15.ctf,motioncor/20S_440_Mar29_08.26.15_DriftCorr.log,gctf/20S_440_Mar29_08.26.15_EPA.log,4.40916,1.060000,4.19865,300.000000,0.6848333333333333,2.9134,4409.164062,2.620000,123.267235,10000.000000,33.83,0.100000,/home/viktor/Downloads/input/20S_440_Mar29_08.26.15/20S_440_Mar29_08.26.15.ctf:mrc,/home/viktor/Downloads/input/20S_440_Mar29_08.26.15/20S_440_Mar29_08.26.15.mrc,gctf/20S_440_Mar29_08.26.15_gctf.log,4198.650391,motioncor/20S_440_Mar29_08.26.15_DW.mrc,4.303904999999999,0.2105100000000002
20S_438_Mar29_08.21.25,2017-12-15 14:34:35.838583,0.027844,39.502373,2.901723,motioncor/20S_438_Mar29_08.21.25.mrc,gctf/20S_438_Mar29_08.21.25.ctf,motioncor/20S_438_Mar29_08.21.25_DriftCorr.log,gctf/20S_438_Mar29_08.21.25_EPA.log,4.71518,1.060000,4.481,300.000000,0.6421111111111111,3.412317,4715.184082,2.620000,115.583023,10000.000000,39.5,0.100000,/home/viktor/Downloads/input/20S_438_Mar29_08.21.25/20S_438_Mar29_08.21.25.ctf:mrc,/home/viktor/Downloads/input/20S_438_Mar29_08.21.25/20S_438_Mar29_08.21.25.mrc,gctf/20S_438_Mar29_08.21.25_gctf.log,4480.997559,motioncor/20S_438_Mar29_08.21.25_DW.mrc,4.59809,0.23418000000000028
20S_437_Mar29_08.18.59,2017-12-15 14:35:06.302355,0.018648,30.334808,2.626288,motioncor/20S_437_Mar29_08.18.59.mrc,gctf/20S_437_Mar29_08.18.59.ctf,motioncor/20S_437_Mar29_08.18.59_DriftCorr.log,gctf/20S_437_Mar29_08.18.59_EPA.log,3.52407,1.060000,3.33,300.000000,0.6267777777777778,2.648707,3524.066162,2.620000,112.820374,10000.000000,30.33,0.100000,/home/viktor/Downloads/input/20S_437_Mar29_08.18.59/20S_437_Mar29_08.18.59.ctf:mrc,/home/viktor/Downloads/input/20S_437_Mar29_08.18.59/20S_437_Mar29_08.18.59.mrc,gctf/20S_437_Mar29_08.18.59_gctf.log,3330.002197,motioncor/20S_437_Mar29_08.18.59_DW.mrc,3.427035,0.19406999999999996
20S_436_Mar29_08.16.34,2017-12-15 14:35:36.752863,0.010023,36.265717,2.804312,motioncor/20S_436_Mar29_08.16.34.mrc,gctf/20S_436_Mar29_08.16.34.ctf,motioncor/20S_436_Mar29_08.16.34_DriftCorr.log,gctf/20S_436_Mar29_08.16.34_EPA.log,2.95669,1.060000,2.80158,300.000000,0.6817777777777778,3.175351,2956.688721,2.620000,122.719574,10000.000000,36.27,0.100000,/home/viktor/Downloads/input/20S_436_Mar29_08.16.34/20S_436_Mar29_08.16.34.ctf:mrc,/home/viktor/Downloads/input/20S_436_Mar29_08.16.34/20S_436_Mar29_08.16.34.mrc,gctf/20S_436_Mar29_08.16.34_gctf.log,2801.575439,motioncor/20S_436_Mar29_08.16.34_DW.mrc,2.879135,0.15511000000000008
